img,up,down,left,right
JM50K_1924_001.jpg,655,6803,625,8803 
JM50K_1924_002a.jpg,665,6718,655,8847 
JM50K_1924_002b.jpg,425,6553,195,8289 
JM50K_1924_003.jpg,445,6579,245,8340 
JM50K_1924_004.jpg,685,6775,465,8828 
JM50K_1924_005.jpg,635,6715,471,8675 
JM50K_1924_006.jpg,455,6600,275,8513 
JM50K_1924_008.jpg,475,6527,325,8492 
JM50K_1924_009.jpg,475,6608,275,8470 
JM50K_1924_010.jpg,688,6781,645,8828 
JM50K_1924_011.jpg,665,6788,565,8761 
JM50K_1924_012.jpg,845,6894,715,8927 
JM50K_1924_013.jpg,625,6756,605,8764 
JM50K_1924_014.jpg,615,6765,675,8796 
JM50K_1924_015.jpg,585,6710,625,8812 
JM50K_1924_016.jpg,665,6709,665,8856 
JM50K_1924_017.jpg,685,6699,605,8831 
JM50K_1924_018.jpg,818,6930,675,8899 
JM50K_1924_019.jpg,485,6618,285,8521 
JM50K_1924_020.jpg,618,6744,675,8845 
JM50K_1924_021.jpg,668,6586,635,8878 
JM50K_1924_023.jpg,585,6690,661,8809 
JM50K_1924_024.jpg,745,6801,505,8732 
JM50K_1924_025.jpg,685,6807,675,8919 
JM50K_1924_026.jpg,835,6814,715,8915 
JM50K_1924_027.jpg,665,6790,615,8826 
JM50K_1924_028.jpg,791,6816,725,8884 
JM50K_1924_029.jpg,678,6722,678,8833 
JM50K_1924_030.jpg,698,6736,698,8865 
JM50K_1924_031.jpg,735,6756,635,8903 
JM50K_1924_032.jpg,665,6768,675,8879 
JM50K_1924_033.jpg,678,6809,625,8912 
JM50K_1924_034.jpg,775,6896,635,8923 
JM50K_1924_035.jpg,858,6866,675,8908 
JM50K_1924_036.jpg,525,6713,475,8851 
JM50K_1924_037.jpg,478,6657,505,8806 
JM50K_1924_039.jpg,698,6732,585,8850 
JM50K_1924_042.jpg,555,6687,455,8831 
JM50K_1924_043.jpg,655,6779,565,8886 
JM50K_1924_044.jpg,685,6746,675,8952 
JM50K_1924_045.jpg,455,6591,225,8489 
JM50K_1924_046.jpg,715,6856,538,8848 
JM50K_1924_047.jpg,515,6682,465,8804 
JM50K_1924_048.jpg,625,6676,565,8872 
JM50K_1924_049.jpg,655,6728,635,8955 
JM50K_1924_052.jpg,825,6962,545,8906 
JM50K_1924_053.jpg,635,6738,715,8850 
JM50K_1924_054.jpg,565,6668,685,8868 
JM50K_1924_055.jpg,605,6708,575,8792 
JM50K_1924_056.jpg,795,6716,735,8904 
JM50K_1924_057.jpg,645,6686,485,8713 
JM50K_1924_058.jpg,745,6787,695,8951 
JM50K_1924_059.jpg,595,6714,595,8829 
JM50K_1924_060.jpg,635,6759,555,8728 
JM50K_1924_061.jpg,738,6818,555,8746 
JM50K_1924_062.jpg,685,6777,585,8783 
JM50K_1924_063.jpg,595,6722,575,8815 
JM50K_1924_064.jpg,675,6816,565,8826 
JM50K_1924_065.jpg,628,6736,625,8809 
JM50K_1924_066.jpg,585,6695,458,8665 
JM50K_1924_067.jpg,725,6840,728,8970 
JM50K_1924_068.jpg,585,6667,435,8795 
JM50K_1924_069.jpg,745,6830,585,8808 
JM50K_1924_070.jpg,625,6722,605,8825 
JM50K_1924_071.jpg,735,6828,605,8832 
JM50K_1924_072.jpg,695,6701,528,8845 
JM50K_1924_073.jpg,755,6888,748,9020 
JM50K_1924_074.jpg,545,6652,565,8828 
JM50K_1924_075.jpg,705,6880,585,8892 
JM50K_1924_076.jpg,765,6830,675,9012 
JM50K_1924_077.jpg,585,6692,535,8771 
JM50K_1924_078.jpg,645,6768,638,8878 
JM50K_1924_079.jpg,625,6740,628,8900 
JM50K_1924_080.jpg,595,6709,645,8925 
JM50K_1924_084.jpg,535,6705,445,8806 
JM50K_1924_085.jpg,635,6658,625,8886 
JM50K_1924_086.jpg,565,6680,445,8807 
JM50K_1924_087.jpg,615,6698,505,8807 
JM50K_1924_089.jpg,658,6754,605,8882 
JM50K_1924_090.jpg,715,6725,615,8927 
JM50K_1924_093.jpg,745,6846,735,8980 
JM50K_1924_094.jpg,635,6714,535,8852 
JM50K_1924_095.jpg,815,6821,395,8715 
JM50K_1924_096.jpg,455,6638,225,8798 
JM50K_1924_097.jpg,685,6765,485,8755 
JM50K_1924_098.jpg,585,6688,645,8927 
JM50K_1924_099.jpg,565,6630,565,8888 
JM50K_1924_100.jpg,575,6660,605,8939 
JM50K_1924_102.jpg,425,6525,375,8735 
JM50K_1924_103.jpg,455,6570,295,8625 
