img, px, py
JM50K_1924_001_0.jpg,158,176
JM50K_1924_001_1.jpg,182,85
JM50K_1924_001_2.jpg,73,173
JM50K_1924_001_3.jpg,108,78
JM50K_1924_002a_0.jpg,165,126
JM50K_1924_002a_1.jpg,181,133
JM50K_1924_002a_2.jpg,72,132
JM50K_1924_002a_3.jpg,86,123
JM50K_1924_002b_0.jpg,163,180
JM50K_1924_002b_1.jpg,175,90
JM50K_1924_002b_2.jpg,121,179
JM50K_1924_002b_3.jpg,123,74
JM50K_1924_003_0.jpg,178,164
JM50K_1924_003_1.jpg,168,66
JM50K_1924_003_2.jpg,131,199
JM50K_1924_003_3.jpg,127,86
JM50K_1924_004_0.jpg,161,172
JM50K_1924_004_1.jpg,183,82
JM50K_1924_004_2.jpg,-100,159
JM50K_1924_004_3.jpg,-72,88
JM50K_1924_005_0.jpg,208,155
JM50K_1924_005_1.jpg,151,63
JM50K_1924_005_2.jpg,109,183
JM50K_1924_005_3.jpg,71,97
JM50K_1924_006_0.jpg,187,157
JM50K_1924_006_1.jpg,164,60
JM50K_1924_006_2.jpg,71,174
JM50K_1924_006_3.jpg,74,101
JM50K_1924_008_0.jpg,123,140
JM50K_1924_008_1.jpg,120,114
JM50K_1924_008_2.jpg,98,198
JM50K_1924_008_3.jpg,66,175
JM50K_1924_009_0.jpg,201,157
JM50K_1924_009_1.jpg,153,68
JM50K_1924_009_2.jpg,86,186
JM50K_1924_009_3.jpg,70,98
JM50K_1924_010_0.jpg,154,133
JM50K_1924_010_1.jpg,178,92
JM50K_1924_010_2.jpg,69,130
JM50K_1924_010_3.jpg,88,82
JM50K_1924_011_0.jpg,166,171
JM50K_1924_011_1.jpg,188,102
JM50K_1924_011_2.jpg,127,161
JM50K_1924_011_3.jpg,127,85
JM50K_1924_012_0.jpg,163,135
JM50K_1924_012_1.jpg,184,90
JM50K_1924_012_2.jpg,78,133
JM50K_1924_012_3.jpg,85,86
JM50K_1924_013_0.jpg,148,185
JM50K_1924_013_1.jpg,182,97
JM50K_1924_013_2.jpg,68,165
JM50K_1924_013_3.jpg,109,67
JM50K_1924_014_0.jpg,125,171
JM50K_1924_014_1.jpg,130,84
JM50K_1924_014_2.jpg,118,171
JM50K_1924_014_3.jpg,132,77
JM50K_1924_015_0.jpg,161,182
JM50K_1924_015_1.jpg,190,78
JM50K_1924_015_2.jpg,66,178
JM50K_1924_015_3.jpg,103,83
JM50K_1924_016_0.jpg,158,130
JM50K_1924_016_1.jpg,189,140
JM50K_1924_016_2.jpg,69,122
JM50K_1924_016_3.jpg,94,129
JM50K_1924_017_0.jpg,154,132
JM50K_1924_017_1.jpg,195,134
JM50K_1924_017_2.jpg,48,127
JM50K_1924_017_3.jpg,109,120
JM50K_1924_018_0.jpg,151,183
JM50K_1924_018_1.jpg,176,91
JM50K_1924_018_2.jpg,67,174
JM50K_1924_018_3.jpg,104,76
JM50K_1924_019_0.jpg,185,171
JM50K_1924_019_1.jpg,161,63
JM50K_1924_019_2.jpg,79,194
JM50K_1924_019_3.jpg,80,98
JM50K_1924_020_0.jpg,118,174
JM50K_1924_020_1.jpg,133,90
JM50K_1924_020_2.jpg,78,169
JM50K_1924_020_3.jpg,83,75
JM50K_1924_021_0.jpg,162,133
JM50K_1924_021_1.jpg,190,258
JM50K_1924_021_2.jpg,65,118
JM50K_1924_021_3.jpg,89,228
JM50K_1924_023_0.jpg,87,174
JM50K_1924_023_1.jpg,77,86
JM50K_1924_023_2.jpg,79,169
JM50K_1924_023_3.jpg,95,81
JM50K_1924_024_0.jpg,171,170
JM50K_1924_024_1.jpg,176,141
JM50K_1924_024_2.jpg,76,173
JM50K_1924_024_3.jpg,84,149
JM50K_1924_025_0.jpg,166,177
JM50K_1924_025_1.jpg,187,89
JM50K_1924_025_2.jpg,74,173
JM50K_1924_025_3.jpg,83,82
JM50K_1924_026_0.jpg,128,123
JM50K_1924_026_1.jpg,138,161
JM50K_1924_026_2.jpg,67,131
JM50K_1924_026_3.jpg,94,169
JM50K_1924_027_0.jpg,161,178
JM50K_1924_027_1.jpg,178,87
JM50K_1924_027_2.jpg,120,170
JM50K_1924_027_3.jpg,134,86
JM50K_1924_028_0.jpg,135,107
JM50K_1924_028_1.jpg,135,85
JM50K_1924_028_2.jpg,122,120
JM50K_1924_028_3.jpg,127,101
JM50K_1924_029_0.jpg,128,133
JM50K_1924_029_1.jpg,137,136
JM50K_1924_029_2.jpg,123,134
JM50K_1924_029_3.jpg,137,122
JM50K_1924_030_0.jpg,129,131
JM50K_1924_030_1.jpg,128,127
JM50K_1924_030_2.jpg,128,134
JM50K_1924_030_3.jpg,124,140
JM50K_1924_031_0.jpg,174,99
JM50K_1924_031_1.jpg,188,151
JM50K_1924_031_2.jpg,72,102
JM50K_1924_031_3.jpg,91,142
JM50K_1924_032_0.jpg,121,179
JM50K_1924_032_1.jpg,125,81
JM50K_1924_032_2.jpg,72,171
JM50K_1924_032_3.jpg,99,73
JM50K_1924_033_0.jpg,179,164
JM50K_1924_033_1.jpg,190,87
JM50K_1924_033_2.jpg,84,172
JM50K_1924_033_3.jpg,90,80
JM50K_1924_034_0.jpg,166,190
JM50K_1924_034_1.jpg,182,86
JM50K_1924_034_2.jpg,68,173
JM50K_1924_034_3.jpg,105,72
JM50K_1924_035_0.jpg,129,100
JM50K_1924_035_1.jpg,128,114
JM50K_1924_035_2.jpg,75,129
JM50K_1924_035_3.jpg,87,129
JM50K_1924_036_0.jpg,200,157
JM50K_1924_036_1.jpg,164,95
JM50K_1924_036_2.jpg,15,192
JM50K_1924_036_3.jpg,-12,89
JM50K_1924_037_0.jpg,130,169
JM50K_1924_037_1.jpg,139,101
JM50K_1924_037_2.jpg,49,175
JM50K_1924_037_3.jpg,66,57
JM50K_1924_039_0.jpg,159,131
JM50K_1924_039_1.jpg,188,143
JM50K_1924_039_2.jpg,77,127
JM50K_1924_039_3.jpg,93,127
JM50K_1924_042_0.jpg,160,198
JM50K_1924_042_1.jpg,196,102
JM50K_1924_042_2.jpg,-27,139
JM50K_1924_042_3.jpg,32,59
JM50K_1924_043_0.jpg,161,122
JM50K_1924_043_1.jpg,186,88
JM50K_1924_043_2.jpg,60,128
JM50K_1924_043_3.jpg,88,75
JM50K_1924_044_0.jpg,124,171
JM50K_1924_044_1.jpg,133,97
JM50K_1924_044_2.jpg,71,153
JM50K_1924_044_3.jpg,103,71
JM50K_1924_045_0.jpg,196,165
JM50K_1924_045_1.jpg,163,73
JM50K_1924_045_2.jpg,123,178
JM50K_1924_045_3.jpg,123,94
JM50K_1924_046_0.jpg,170,176
JM50K_1924_046_1.jpg,173,88
JM50K_1924_046_2.jpg,74,179
JM50K_1924_046_3.jpg,83,81
JM50K_1924_047_0.jpg,190,159
JM50K_1924_047_1.jpg,146,76
JM50K_1924_047_2.jpg,89,191
JM50K_1924_047_3.jpg,70,93
JM50K_1924_048_0.jpg,155,183
JM50K_1924_048_1.jpg,191,137
JM50K_1924_048_2.jpg,67,161
JM50K_1924_048_3.jpg,117,118
JM50K_1924_049_0.jpg,115,177
JM50K_1924_049_1.jpg,133,131
JM50K_1924_049_2.jpg,74,168
JM50K_1924_049_3.jpg,89,129
JM50K_1924_052_0.jpg,172,174
JM50K_1924_052_1.jpg,188,89
JM50K_1924_052_2.jpg,72,179
JM50K_1924_052_3.jpg,107,77
JM50K_1924_053_0.jpg,186,161
JM50K_1924_053_1.jpg,158,74
JM50K_1924_053_2.jpg,127,185
JM50K_1924_053_3.jpg,136,92
JM50K_1924_054_0.jpg,165,184
JM50K_1924_054_1.jpg,179,95
JM50K_1924_054_2.jpg,74,181
JM50K_1924_054_3.jpg,103,76
JM50K_1924_055_0.jpg,164,173
JM50K_1924_055_1.jpg,185,76
JM50K_1924_055_2.jpg,70,183
JM50K_1924_055_3.jpg,100,99
JM50K_1924_056_0.jpg,126,127
JM50K_1924_056_1.jpg,141,223
JM50K_1924_056_2.jpg,121,130
JM50K_1924_056_3.jpg,133,221
JM50K_1924_057_0.jpg,164,131
JM50K_1924_057_1.jpg,182,139
JM50K_1924_057_2.jpg,121,131
JM50K_1924_057_3.jpg,135,124
JM50K_1924_058_0.jpg,164,127
JM50K_1924_058_1.jpg,182,130
JM50K_1924_058_2.jpg,70,126
JM50K_1924_058_3.jpg,105,125
JM50K_1924_059_0.jpg,154,182
JM50K_1924_059_1.jpg,190,114
JM50K_1924_059_2.jpg,72,168
JM50K_1924_059_3.jpg,92,71
JM50K_1924_060_0.jpg,132,162
JM50K_1924_060_1.jpg,126,68
JM50K_1924_060_2.jpg,88,183
JM50K_1924_060_3.jpg,75,92
JM50K_1924_061_0.jpg,175,172
JM50K_1924_061_1.jpg,182,135
JM50K_1924_061_2.jpg,124,166
JM50K_1924_061_3.jpg,133,123
JM50K_1924_062_0.jpg,171,130
JM50K_1924_062_1.jpg,193,86
JM50K_1924_062_2.jpg,122,124
JM50K_1924_062_3.jpg,138,77
JM50K_1924_063_0.jpg,165,176
JM50K_1924_063_1.jpg,181,99
JM50K_1924_063_2.jpg,79,178
JM50K_1924_063_3.jpg,97,79
JM50K_1924_064_0.jpg,169,176
JM50K_1924_064_1.jpg,181,88
JM50K_1924_064_2.jpg,78,183
JM50K_1924_064_3.jpg,84,82
JM50K_1924_065_0.jpg,126,171
JM50K_1924_065_1.jpg,133,95
JM50K_1924_065_2.jpg,123,172
JM50K_1924_065_3.jpg,125,92
JM50K_1924_066_0.jpg,134,167
JM50K_1924_066_1.jpg,122,92
JM50K_1924_066_2.jpg,86,178
JM50K_1924_066_3.jpg,78,76
JM50K_1924_067_0.jpg,121,158
JM50K_1924_067_1.jpg,133,78
JM50K_1924_067_2.jpg,71,177
JM50K_1924_067_3.jpg,88,82
JM50K_1924_068_0.jpg,198,79
JM50K_1924_068_1.jpg,131,48
JM50K_1924_068_2.jpg,113,140
JM50K_1924_068_3.jpg,72,104
JM50K_1924_069_0.jpg,165,126
JM50K_1924_069_1.jpg,192,99
JM50K_1924_069_2.jpg,119,138
JM50K_1924_069_3.jpg,133,84
JM50K_1924_070_0.jpg,169,166
JM50K_1924_070_1.jpg,175,126
JM50K_1924_070_2.jpg,125,192
JM50K_1924_070_3.jpg,120,156
JM50K_1924_071_0.jpg,157,128
JM50K_1924_071_1.jpg,182,95
JM50K_1924_071_2.jpg,123,138
JM50K_1924_071_3.jpg,140,72
JM50K_1924_072_0.jpg,158,131
JM50K_1924_072_1.jpg,207,145
JM50K_1924_072_2.jpg,77,127
JM50K_1924_072_3.jpg,103,120
JM50K_1924_073_0.jpg,166,175
JM50K_1924_073_1.jpg,170,82
JM50K_1924_073_2.jpg,66,173
JM50K_1924_073_3.jpg,107,68
JM50K_1924_074_0.jpg,166,183
JM50K_1924_074_1.jpg,176,104
JM50K_1924_074_2.jpg,65,167
JM50K_1924_074_3.jpg,101,68
JM50K_1924_075_0.jpg,167,124
JM50K_1924_075_1.jpg,179,-56
JM50K_1924_075_2.jpg,72,129
JM50K_1924_075_3.jpg,99,-56
JM50K_1924_076_0.jpg,160,169
JM50K_1924_076_1.jpg,186,123
